"","Season","Team","SeasonTeam","WonWS","LostWS","G.x","PA","HR","R","RBI","SB","BB.","K.","ISO","BABIP.x","AVG","OBP","SLG","wOBA","wRC.","BsR","Off","Def","WAR.x","W","L","SV","G.y","GS","IP","K.9","BB.9","HR.9","BABIP.y","LOB.","GB.","HR.FB","ERA","FIP","xFIP","WAR.y"
"1",1903,"Americans","1903 Americans",TRUE,FALSE,1337,5365,48,708,609,141,"4.9 %","",0.12,NA,0.272,0.313,0.392,0.332,108,-3.9,49.8,59.4,29.5,91,47,4,159,141,1255,4.15,1.93,0.16,0.275,"66.5 %","","",2.57,2.7,NA,14.5
"2",1903,"Athletics","1903 Athletics",FALSE,FALSE,1314,5074,32,597,502,157,"5.3 %","",0.098,NA,0.264,0.309,0.363,0.318,97,0.4,-17.5,8.3,16.5,75,60,1,165,137,1207,5.43,2.35,0.15,0.292,"66.9 %","","",2.98,2.55,NA,16.7
"3",1903,"Beaneaters","1903 Beaneaters",FALSE,FALSE,1319,5240,25,575,479,159,"7.6 %","",0.074,NA,0.245,0.312,0.318,0.305,83,-2.9,-118.7,-26.1,5.1,58,80,1,155,140,1228.2,3.78,3.37,0.22,0.303,"63.5 %","","",3.34,3.36,NA,9
"4",1903,"Browns","1903 Browns",FALSE,FALSE,1301,5047,12,500,408,101,"5.4 %","",0.073,NA,0.244,0.29,0.317,0.29,86,-10.1,-91.1,36.5,11.7,65,74,3,155,139,1222.1,3.76,1.75,0.19,0.289,"66.5 %","","",2.77,2.78,NA,10.6
"5",1903,"Cardinals","1903 Cardinals",FALSE,FALSE,1329,5096,8,505,404,171,"5.4 %","",0.062,NA,0.251,0.297,0.313,0.293,78,1.5,-146.3,-16.6,2.7,43,94,2,168,139,1212.1,3.11,3.19,0.19,0.307,"58.0 %","","",3.67,3.4,NA,7.4
"6",1903,"Cubs","1903 Cubs",FALSE,FALSE,1323,5323,9,695,548,259,"7.9 %","",0.072,NA,0.275,0.34,0.347,0.331,99,13.1,7.4,27.4,23.6,82,56,6,163,139,1240.1,3.27,2.57,0.1,0.277,"62.8 %","","",2.77,3.03,NA,12.7
"7",1903,"Giants","1903 Giants",FALSE,FALSE,1380,5397,20,729,570,264,"7.0 %","",0.072,NA,0.272,0.338,0.344,0.329,97,14.1,-10.5,18.2,21.1,84,55,8,171,142,1262.2,4.48,2.64,0.14,0.297,"67.2 %","","",2.95,2.85,NA,16.5
"8",1903,"Highlanders","1903 Highlanders",FALSE,FALSE,1293,5091,18,579,474,160,"6.5 %","",0.081,NA,0.249,0.309,0.33,0.307,86,-0.3,-87,28.1,11.4,72,62,2,162,136,1201.1,3.47,1.84,0.14,0.283,"61.8 %","","",3.08,2.8,NA,16.6
"9",1903,"Naps","1903 Naps",FALSE,FALSE,1307,5225,31,639,550,175,"5.0 %","",0.108,NA,0.265,0.308,0.373,0.322,104,4.1,31.5,42.1,25.4,77,63,1,155,140,1243.2,3.77,1.96,0.12,0.277,"61.5 %","","",2.73,2.74,NA,12.7
"10",1903,"Phillies","1903 Phillies",FALSE,FALSE,1322,5313,12,618,500,120,"6.4 %","",0.072,NA,0.268,0.322,0.341,0.317,90,-11.9,-82.8,-29.3,8.7,49,86,3,152,139,1212.1,2.83,3.16,0.16,0.304,"60.5 %","","",3.96,3.4,NA,8.2
"11",1903,"Pirates","1903 Pirates",FALSE,TRUE,1341,5511,34,793,650,172,"6.6 %","",0.106,NA,0.286,0.341,0.393,0.348,106,-3.8,40.9,60.3,31,91,49,5,167,141,1251.1,3.27,2.76,0.06,0.282,"62.4 %","","",2.91,3.04,NA,14.3
"12",1903,"Reds","1903 Reds",FALSE,FALSE,1326,5386,28,764,652,144,"7.5 %","",0.102,NA,0.288,0.346,0.39,0.35,100,-9.2,-12.5,-2.1,18.8,74,65,1,157,141,1230,3.51,2.77,0.1,0.297,"62.3 %","","",3.07,3.04,NA,18.7
"13",1903,"Senators","1903 Senators",FALSE,FALSE,1311,4990,17,437,372,131,"5.2 %","",0.08,NA,0.231,0.277,0.311,0.281,76,-2,-146.2,-6.3,1.6,43,94,3,158,140,1223.2,3.32,2.25,0.28,0.302,"60.8 %","","",3.82,3.17,NA,8.4
"14",1903,"Superbas","1903 Superbas",FALSE,FALSE,1330,5233,15,666,539,273,"10.0 %","",0.074,NA,0.265,0.348,0.339,0.333,99,15.4,6.6,16.4,22.1,70,66,4,162,139,1221.1,3.23,2.78,0.13,0.295,"60.6 %","","",3.44,3.15,NA,11.1
"15",1903,"Tigers","1903 Tigers",FALSE,FALSE,1283,5090,12,567,451,128,"5.7 %","",0.083,NA,0.268,0.318,0.351,0.319,101,-7.8,-4.6,10.3,18,65,71,2,152,137,1196,4.17,2.53,0.14,0.29,"66.0 %","","",2.75,2.88,NA,11.9
"16",1903,"White Sox","1903 White Sox",FALSE,FALSE,1312,5175,14,516,436,180,"6.3 %","",0.068,NA,0.247,0.301,0.314,0.296,91,3.3,-49.7,14.7,14.2,60,77,4,164,138,1235,2.85,2.09,0.17,0.281,"62.4 %","","",3.02,3.07,NA,5.2
"17",1904,"Americans","1904 Americans",FALSE,FALSE,1470,5784,26,608,522,101,"6.0 %","",0.092,NA,0.247,0.301,0.34,0.308,100,-13.8,-14.9,37.2,22.9,95,59,1,166,157,1406,3.92,1.49,0.2,0.26,"70.4 %","","",2.12,2.33,NA,17.6
"18",1904,"Athletics","1904 Athletics",FALSE,FALSE,1466,5578,31,557,486,137,"5.6 %","",0.087,NA,0.249,0.298,0.336,0.305,97,-5.2,-21.4,7.1,18.4,81,70,0,175,155,1361.1,5.86,2.42,0.09,0.278,"68.9 %","","",2.35,2.05,NA,21
"19",1904,"Beaneaters","1904 Beaneaters",FALSE,FALSE,1461,5594,24,491,394,143,"5.6 %","",0.063,NA,0.237,0.287,0.3,0.285,84,-4.9,-105.3,-61.6,3,55,98,0,175,155,1348.1,3.63,3.34,0.17,0.298,"62.4 %","","",3.43,2.96,NA,7.9
"20",1904,"Browns","1904 Browns",FALSE,FALSE,1473,5817,10,481,406,150,"5.7 %","",0.055,NA,0.239,0.291,0.294,0.284,90,-5.7,-67.7,-8.8,12.2,65,87,1,178,156,1410,3.68,2.13,0.16,0.278,"66.4 %","","",2.83,2.54,NA,8.5
"21",1904,"Cardinals","1904 Cardinals",FALSE,FALSE,1432,5619,24,602,456,199,"6.1 %","",0.074,NA,0.253,0.306,0.327,0.306,97,4.6,-14.5,10.9,20.9,74,79,2,162,154,1368,3.48,2.1,0.15,0.275,"65.1 %","","",2.64,2.56,NA,15.6
"22",1904,"Cubs","1904 Cubs",FALSE,FALSE,1467,5695,22,597,470,227,"5.2 %","",0.067,NA,0.248,0.295,0.315,0.295,91,10.7,-45.8,44.8,21,93,60,6,173,156,1383.2,4.02,2.61,0.1,0.257,"68.8 %","","",2.3,2.55,NA,15.2
"23",1904,"Giants","1904 Giants",FALSE,FALSE,1518,5828,31,744,564,283,"7.4 %","",0.083,NA,0.262,0.328,0.344,0.326,107,17.8,64.3,71,36.7,106,46,15,186,157,1396.2,4.56,2.25,0.23,0.257,"71.4 %","","",2.17,2.49,NA,18.1
"24",1904,"Highlanders","1904 Highlanders",FALSE,FALSE,1481,5724,27,598,499,163,"5.5 %","",0.088,NA,0.259,0.308,0.347,0.315,98,-2.4,-12.1,56.5,24.9,92,59,1,188,155,1380.2,4.46,2.03,0.19,0.264,"67.5 %","","",2.57,2.38,NA,19.1
"25",1904,"Naps","1904 Naps",FALSE,FALSE,1433,5669,27,647,553,178,"5.4 %","",0.094,NA,0.26,0.308,0.354,0.317,109,2,55,7.7,27.5,86,65,0,169,154,1356.2,4.16,1.89,0.07,0.283,"70.4 %","","",2.22,2.22,NA,16.3
"26",1904,"Phillies","1904 Phillies",FALSE,FALSE,1487,5637,23,571,469,159,"6.7 %","",0.068,NA,0.248,0.305,0.316,0.301,94,-3.9,-40.7,-72.9,9.5,52,100,2,180,155,1339.1,3.15,2.86,0.15,0.297,"60.0 %","","",3.39,2.88,NA,8.4
"27",1904,"Pirates","1904 Pirates",FALSE,FALSE,1473,5714,15,675,522,178,"6.8 %","",0.08,NA,0.258,0.316,0.338,0.316,100,-1.4,1.2,26,24.6,87,66,1,181,156,1348.1,3.04,2.53,0.09,0.273,"66.3 %","","",2.89,2.71,NA,13.8
"28",1904,"Reds","1904 Reds",FALSE,FALSE,1485,5811,21,692,561,179,"6.9 %","",0.083,NA,0.255,0.313,0.338,0.314,92,-0.9,-50.3,20.5,18.4,88,65,2,172,157,1392.2,3.24,2.22,0.08,0.266,"67.6 %","","",2.34,2.56,NA,22
"29",1904,"Senators","1904 Senators",FALSE,FALSE,1463,5606,10,437,348,150,"5.0 %","",0.061,NA,0.227,0.275,0.288,0.273,82,-1.6,-108.5,-62.7,1.5,38,113,4,177,157,1359.2,3.53,2.3,0.13,0.308,"61.7 %","","",3.62,2.58,NA,8.1
"30",1904,"Superbas","1904 Superbas",FALSE,FALSE,1464,5497,15,497,390,205,"7.5 %","",0.063,NA,0.232,0.297,0.295,0.289,88,7,-64.6,-10,12.6,56,97,2,174,154,1337.1,3.05,2.79,0.18,0.274,"66.3 %","","",2.7,2.93,NA,6.7
"31",1904,"Tigers","1904 Tigers",FALSE,FALSE,1524,5853,11,505,431,112,"5.9 %","",0.061,NA,0.231,0.282,0.292,0.279,83,-11.8,-116.1,8.5,8.5,62,90,2,183,162,1430,3.5,2.73,0.1,0.277,"66.9 %","","",2.77,2.69,NA,8
"32",1904,"White Sox","1904 White Sox",FALSE,FALSE,1465,5638,14,600,519,216,"6.6 %","",0.074,NA,0.242,0.3,0.316,0.298,101,9.5,16.8,78.1,30,89,65,3,178,156,1380,3.59,1.98,0.08,0.256,"68.9 %","","",2.3,2.4,NA,9.4
"33",1905,"Americans","1905 Americans",FALSE,FALSE,1478,5711,29,578,488,131,"8.5 %","",0.077,NA,0.234,0.305,0.311,0.303,94,-10.5,-45.2,19.6,16.8,78,74,1,183,153,1356.1,4.33,1.94,0.22,0.269,"65.2 %","","",2.84,2.52,NA,17.1
"34",1905,"Athletics","1905 Athletics",FALSE,TRUE,1468,5721,24,623,511,190,"6.6 %","",0.084,NA,0.255,0.31,0.338,0.315,103,2.6,21.1,23.8,24.7,92,56,0,189,152,1383.1,5.82,2.66,0.14,0.271,"70.7 %","","",2.19,2.31,NA,19.3
"35",1905,"Beaneaters","1905 Beaneaters",FALSE,FALSE,1459,5632,17,468,387,132,"5.4 %","",0.058,NA,0.234,0.284,0.293,0.282,75,-8.2,-175.9,-27.8,-0.8,51,103,0,174,156,1383,3.47,2.82,0.23,0.287,"62.1 %","","",3.52,3.03,NA,10.9
"36",1905,"Browns","1905 Browns",FALSE,FALSE,1491,5771,16,511,415,131,"6.3 %","",0.057,NA,0.232,0.288,0.289,0.284,89,-9.6,-78.1,-2.7,11.1,54,99,2,178,156,1384.2,4.11,2.53,0.12,0.273,"65.2 %","","",2.74,2.63,NA,10.1
"37",1905,"Cardinals","1905 Cardinals",FALSE,FALSE,1457,5609,20,534,446,162,"7.0 %","",0.073,NA,0.248,0.307,0.321,0.306,90,-4.4,-73.5,-42.2,9,58,96,2,173,154,1347.2,2.74,2.45,0.19,0.293,"61.2 %","","",3.59,3,NA,9.5
"38",1905,"Cubs","1905 Cubs",FALSE,FALSE,1466,5810,12,667,522,267,"7.7 %","",0.07,NA,0.245,0.313,0.314,0.308,90,14.9,-51.6,84.3,25.1,92,61,2,177,155,1407.1,4.01,2.46,0.09,0.251,"72.8 %","","",2.04,2.58,NA,17.2
"39",1905,"Giants","1905 Giants",TRUE,FALSE,1530,5839,39,778,642,291,"8.9 %","",0.095,NA,0.273,0.351,0.368,0.35,113,15.3,102,63.7,40.3,105,48,15,197,155,1370,4.99,2.39,0.16,0.268,"69.1 %","","",2.39,2.45,NA,21.1
"40",1905,"Highlanders","1905 Highlanders",FALSE,FALSE,1523,5535,23,588,480,200,"6.5 %","",0.071,NA,0.248,0.307,0.319,0.306,91,4.1,-46.6,-21.2,11.9,71,78,4,228,152,1353.2,4.27,2.63,0.17,0.276,"64.3 %","","",2.93,2.7,NA,16.3
"41",1905,"Naps","1905 Naps",FALSE,FALSE,1460,5655,18,562,482,188,"5.1 %","",0.079,NA,0.255,0.301,0.334,0.308,102,3,15.8,27.1,24.2,76,78,0,170,155,1363.1,3.66,2.2,0.15,0.272,"65.7 %","","",2.85,2.66,NA,10.8
"42",1905,"Phillies","1905 Phillies",FALSE,FALSE,1488,5867,16,708,567,180,"6.9 %","",0.076,NA,0.26,0.318,0.336,0.318,97,-3,-22.7,24.5,22.5,83,69,5,197,155,1398.2,3.32,2.64,0.14,0.272,"67.2 %","","",2.81,2.86,NA,10.6
"43",1905,"Pirates","1905 Pirates",FALSE,FALSE,1511,5790,22,692,564,202,"6.6 %","",0.084,NA,0.266,0.32,0.35,0.324,97,2.1,-16.6,56.5,26.1,96,57,6,202,155,1382.2,3.33,2.53,0.08,0.271,"67.5 %","","",2.86,2.74,NA,15.6
