All Leads,Lead Age,Urban,Married,Mobile,NumberHighBrands,NumberLowBrands,NumberFashionMag,HHIncome,Converted
Mean,32.9,0.191,0.154,0.177,1.589,1.125,0.988,71.170,0.326
StDev,8.1,0.393,0.361,0.382,1.350,1.047,1.569,18.371,0.469
,,,,,,,,,
Urban Leads,Lead Age,Urban,Married,Mobile,NumberHighBrands,NumberLowBrands,NumberFashionMag,HHIncome,Converted
Mean,40.9,1.000,0.393,0.110,1.848,1.220,2.455,87.288,0.864
StDev,5.5,0.000,0.490,0.314,1.347,0.991,1.475,20.079,0.344
,,,,,,,,,
Married Leads,Lead Age,Urban,Married,Mobile,NumberHighBrands,NumberLowBrands,NumberFashionMag,HHIncome,Converted
Mean,40.5,0.487,1.000,0.169,1.909,1.110,2.448,92.604,1.000
StDev,5.6,0.501,0.000,0.376,1.416,1.026,1.469,12.627,0.000
,,,,,,,,,
Mobile Leads,Lead.Age,Urban,Married,Mobile,NumberHighBrands,NumberLowBrands,NumberFashionMag,HHIncome,Converted
Mean,32.3,0.119,0.147,1.000,1.333,1.243,0.802,68.734,0.249
Std,7.6,0.324,0.355,0.000,1.300,1.078,1.519,17.782,0.433
,,,,,,,,,
Converted Leads,Lead Age,Urban,Married,Mobile,NumberHighBrands,NumberLowBrands,NumberFashionMag,HHIncome,Converted
Mean,40.3,0.506,0.472,0.135,1.712,1.160,2.620,93.601,1.000
Std,5.7,0.501,0.500,0.342,1.337,1.049,1.500,11.795,0.000
